TADA3	8.53561e+06	
ATP7A	8.49956e+06	
PPP2R5C	8.44912e+06	
IFIH1	8.40606e+06	
MYBL2	8.39651e+06	
THBS1	8.31236e+06	
RECQL4	8.29686e+06	
LEPR	8.28503e+06	
EIF4G1	8.27692e+06	
TNKS	8.13089e+06	
USP10	8.02558e+06	
F8	8.01333e+06	
EPHB1	8.00274e+06	
CCT3	7.98713e+06	
FOXO3	7.92253e+06	
TLR3	7.89886e+06	
COL4A2	7.89366e+06	
NSD3	7.83879e+06	
MTA1	7.8285e+06	
KAT2A	7.82491e+06	
ICAM1	7.81902e+06	
MAP2K3	7.81445e+06	
SPTBN1	7.77293e+06	
RAD50	7.71753e+06	
NOP56	7.69341e+06	
FMR1	7.66391e+06	
CARM1	7.63739e+06	
IKZF1	7.63677e+06	
SLX4	7.63136e+06	
RELA	7.59388e+06	
G6PD	7.58159e+06	
PSMD1	7.56339e+06	
SELP	7.54142e+06	
MEN1	7.51326e+06	
IGFBP3	7.47491e+06	
LTF	7.44712e+06	
VIRMA	7.43559e+06	
PRKCI	7.43199e+06	
SYNCRIP	7.41949e+06	
KAT6B	7.33594e+06	
FADD	7.2929e+06	
POLD1	7.26235e+06	
KNL1	7.24454e+06	
MAPK3	7.17613e+06	
MCM5	7.11305e+06	
IL10	7.08127e+06	
SMAD3	7.07318e+06	
BMP4	7.07059e+06	
PLCG2	7.04839e+06	
DDX20	7.04168e+06	
NIPBL	6.98434e+06	
BAX	6.9388e+06	
CD22	6.88318e+06	
HSP90B1	6.87551e+06	
JAK3	6.86943e+06	
BPTF	6.85649e+06	
UMPS	6.82779e+06	
AMER1	6.81086e+06	
NOD2	6.78703e+06	
KAT7	6.7839e+06	
CCNA2	6.77791e+06	
CSF3R	6.74962e+06	
TYK2	6.7449e+06	
IREB2	6.71732e+06	
PLCB1	6.63817e+06	
BRD1	6.6175e+06	
CARD11	6.58237e+06	
RSF1	6.43739e+06	
XRCC5	6.40906e+06	
CSF1R	6.40609e+06	
MTR	6.39064e+06	
LRP6	6.38564e+06	
PRKAA2	6.36839e+06	
STAT5A	6.35675e+06	
KNTC1	6.29245e+06	
YAP1	6.28311e+06	
CDC25C	6.26332e+06	
TAF2	6.22462e+06	
JAG2	6.22431e+06	
PIKFYVE	6.19767e+06	
RPL23A	6.1854e+06	
MCL1	6.13833e+06	
A2M	6.11268e+06	
RAD21	6.06993e+06	
SSRP1	6.06178e+06	
NOS3	6.05403e+06	
PPP1R15A	6.04797e+06	
CDK2	6.02934e+06	
CNOT3	6.02088e+06	
RUVBL1	6.01538e+06	
ACE	5.96636e+06	
CCT6B	5.92256e+06	
IL1A	5.91389e+06	
CD19	5.90371e+06	
IQGAP1	5.88546e+06	
COPB1	5.85532e+06	
TNFRSF1A	5.82583e+06	
DDX5	5.81912e+06	
PSMC5	5.80534e+06	
SLC2A1	5.74554e+06	
FANCC	5.72332e+06	
ARHGAP35	5.72219e+06	
JAG1	5.67576e+06	
TAF3	5.64945e+06	
PIK3R4	5.62395e+06	
GTF2H1	5.61853e+06	
E2F1	5.59372e+06	
CCT4	5.55728e+06	
DNA2	5.38697e+06	
MYCBP2	5.37543e+06	
AFDN	5.35659e+06	
GTF2B	5.271e+06	
TFRC	5.25127e+06	
ASCC3	5.24613e+06	
ROBO1	5.21897e+06	
COL4A1	5.20177e+06	
FOS	5.19444e+06	
STK11	5.19444e+06	
SIRT1	5.17508e+06	
DDX1	5.14922e+06	
SMG5	5.13434e+06	
USP15	5.12296e+06	
VCL	5.12046e+06	
YWHAE	5.11905e+06	
H2BC21	5.1103e+06	
ULK1	5.104e+06	
POLR3B	5.10251e+06	
SPTAN1	5.09426e+06	
THOC2	5.09117e+06	
FAT2	5.08368e+06	
CTBP1	5.07278e+06	
CDC20	5.05668e+06	
MSH3	5.05246e+06	
DLC1	5.05085e+06	
UTP20	5.04902e+06	
NFKBIA	5.01268e+06	
FUBP1	5.01047e+06	
FANCA	4.95568e+06	
RAD51	4.94537e+06	
CDK13	4.9445e+06	
REV1	4.93822e+06	
UTRN	4.932e+06	
PML	4.91592e+06	
GTF3C1	4.90782e+06	
BAG6	4.90254e+06	
BAK1	4.88528e+06	
CAPN2	4.85972e+06	
ATF2	4.85396e+06	
VEGFC	4.83914e+06	
GDF15	4.83638e+06	
PIDD1	4.75192e+06	
TAF1C	4.75e+06	
PBX1	4.74603e+06	
NOP53	4.73046e+06	
CIITA	4.72178e+06	
STAT5B	4.66603e+06	
CD40	4.63065e+06	
HNRNPL	4.61572e+06	
SQSTM1	4.60604e+06	
EIF2AK4	4.58786e+06	
MAML2	4.55823e+06	
TXNIP	4.55612e+06	
RARA	4.50933e+06	
GTSE1	4.50655e+06	
TRAF3	4.49573e+06	
RPTOR	4.47345e+06	
CNOT4	4.46904e+06	
RPS6KA1	4.43572e+06	
VAV1	4.43434e+06	
SMARCA1	4.40111e+06	
SERPINE1	4.39561e+06	
MAPK14	4.38305e+06	
RAD17	4.37025e+06	
CKAP5	4.36807e+06	
CDK6	4.36512e+06	
TBX5	4.36127e+06	
PDCD11	4.35317e+06	
TEK	4.32884e+06	
H2AX	4.31448e+06	
AHCTF1	4.2815e+06	
RUNX1	4.28014e+06	
SMC4	4.25955e+06	
HSPD1	4.23945e+06	
BIRC3	4.22935e+06	
CASP10	4.22143e+06	
