TCGA-BP-5200	PBRM1,DNAH9,AHNAK2,CENPF,DST,ADAMTS12,FCGBP
TCGA-B0-5104	VWF,PBRM1,BIRC6,CUBN,HMCN1,CSMD3
TCGA-BP-5186	CACNA1S,VHL,PBRM1,FCGBP
TCGA-CJ-4907	MTOR,MAP3K4,RYR3,ABCA13,CSMD1,THSD7B,FLRT2
TCGA-CJ-4639	ATM,UBR4,USH2A,MUC17
TCGA-A3-3373	VHL,DMD,PBRM1,UTRN
TCGA-B0-5706	PTEN,VHL,DCHS2,MYO16,MAST4,NAV3,FLG,SPEN,MEGF10
TCGA-A3-3347	MTOR,PBRM1,ADGRV1,DST,CSMD3
TCGA-B0-5113	VHL,PBRM1,ZFHX4
TCGA-B0-4810	MTOR,PTEN,NOS1,VHL,KMT2C,VPS13B,LRP1B,MUC16
TCGA-B8-A54F	RYR2,PCLO,USH2A
TCGA-B8-A54E	TLN2,FREM2,PLXNA4,MEGF10,MUC16
TCGA-B0-5121	PBRM1,SETD2,PATJ,AHNAK,ZZEF1
TCGA-B0-5085	VHL,TTN,PBRM1,ROS1,ZFHX4,MAST4,KIF1B
TCGA-B0-5107	LAMA1,PRKDC,RANBP2,PBRM1,ZFPM2,FBN3,BAP1,NEB,FCGBP
TCGA-CJ-4637	VHL,DOCK4,PCDH15,ADAMTS12,BAP1
TCGA-B8-4619	GRIN2B,PTPRZ1,DOCK4
TCGA-B0-5711	VHL,PBRM1,SCAF4
TCGA-B4-5832	MTOR,ATM,ERBB4,VHL,PBRM1,MUC2,IGSF10,USH2A,CSMD3
TCGA-CZ-4853	VHL,TTN,PBRM1,SPTA1,LRP1,LRP2,VPS13C,SYNE2,SCAF4,ADAMTS12,FAT3
TCGA-A3-3346	TP53,MTOR,PTEN,RYR2,COL6A3,TLN2,COL6A6,ESPL1,PBRM1,LRP2,AHNAK2,HIVEP1,TACC2,SPEN,ZNF318,SYNE1,KCNH7
TCGA-BP-5177	VHL,DNAH11,ABCA8,IGSF10
TCGA-CZ-5982	VHL,BRCA2,PBRM1
TCGA-B0-5117	TP53,MUC17,PKHD1
TCGA-B0-5710	PBRM1,TTN,DNAH10,PRUNE2
TCGA-BP-4770	TP53,GRIN2B,RELN,TNR,MUC16,SYNE1
TCGA-CJ-5675	PBRM1,MAST4,NPHP3,ADAMTS12,SRRM2,FCGBP
TCGA-BP-4963	RYR1,BRCA2,VHL,SMARCA4,PBRM1,SETD2,PCLO,FBN1,PLXNA4,CHD7,USP34,USH2A
TCGA-A3-3362	VHL,PBRM1,TTN,IGSF10,SPHKAP
TCGA-B2-4101	VHL,DMD,PBRM1,SETD2,LRP2,QSER1,THSD7B,ZZEF1,TACC2
TCGA-BP-4981	COL4A5,ESPL1,PBRM1,AHNAK2,ABCA13,HMCN1,FLG,MUC16
TCGA-CJ-5677	TP53,VHL,NCOR1,RELN,TTN,PDZD2,DST,ZNF318
TCGA-CJ-5672	ROCK1,VHL,DNAH2,LYST,SVEP1,DENND4A
TCGA-CJ-6031	VHL,NSD1,NPHP3
TCGA-B2-A4SR	LAMA2,COL6A6,LRP1,DNAH3,BIRC6,FREM2,MAST4,PKHD1L1
TCGA-B0-5110	PBRM1,BIRC6,MYH2,MYO16,AKAP9,LRRCC1,THSD7B
TCGA-B0-5077	TTN,BRCA2,VHL,KDM5C,NAV3,FAT3
TCGA-CW-5585	ABCA13,PRUNE2,FBN3,USP34,SVEP1
TCGA-B0-5696	MTOR,VHL,AFDN,PBRM1,PTPRZ1,CUBN,ALMS1,TENM1,FBN2,RTTN
TCGA-BP-4968	VHL,ESPL1,DNAH9,ZNF800,MYH2
TCGA-BP-5175	MTOR,VHL,MYH7,UBR4,MUC2,COL24A1,PDZD2,DST
TCGA-BP-4967	KMT2D,VHL,ZFPM2,CSMD3,NEB
TCGA-G6-A8L6	LAMA4,VHL,TLN2,PBRM1,SETD2,NAV3
TCGA-CZ-5461	NCOR1,RYR1,PBRM1,DYNC1H1,SETD2,MEGF10,MACF1,SYNE1
TCGA-EU-5907	PTEN,COL6A3,VHL,PBRM1,SLIT2,SPEN,THSD7B,PKHD1L1,NYNRIN,MYH4
TCGA-B0-5098	TP53,MTOR,EP300,LAMA1,LAMB1,VWF,TNC,ANK3,SMARCA4,TTN,RANBP2,APOB,LRP1,LRP2,KMT2C,SETD2,ZFPM2,IGF2R,DNAH2,DNAH9,PRPF8,CUBN,AHNAK2,FREM2,MYCBP2,ZFHX4,TRIOBP,FAT1,CELSR1,QSER1,SPEN,MAST4,IGSF10,SYNE1,TACC2,BAZ2B,KIAA1549L,BCORL1,KIF1B,MUC17,RALGAPA1,ZNF318,CSMD3,DENND4A,NEB,MUC16,ADGRG4,XIRP2,SLITRK6,CSMD1,MYH4,FCGBP
TCGA-B0-4811	EP300,NOTCH2,ESPL1,KMT2D,SETD2,DYNC2H1,PRPF8,BAZ2B,CSMD3,VPS13C,KCNH7
TCGA-B0-5081	VHL,COL6A6,TTN,PBRM1,SETD2,USH2A,FLG,SVEP1
TCGA-BP-4998	VHL,TTN,SRRM2
TCGA-CZ-5453	VHL,COL6A6,SMARCA4,PBRM1,ADGRV1
TCGA-BP-5194	PBRM1,DNAH9,CENPF,SACS
TCGA-EU-5906	VHL,ZEB2,ANK3,ESPL1,TTN,ADAMTS12
TCGA-CJ-5680	RYR2,VHL,HERC2,ABCA13,BAP1
TCGA-B4-5838	NSD1,AHNAK,CELSR1,HYDIN
TCGA-B0-5702	RYR2,SETD2,COL24A1,CSMD3
TCGA-CW-5580	MTOR,VHL,PBRM1,TTN,SETD2,DNAH8,DNAH9,TENM1,BAP1
TCGA-B8-A54D	THBS1,ROCK1,RYR1,SPTA1,LRP2,SYNE1
TCGA-BP-5176	MTOR,CACNA1S,NOS1,NOTCH2,DMD,VHL,TTN,ANK3,LRP1,PBRM1,DNAH3,CUBN,HERC1,BAZ2B,UTRN,TENM1,RALGAPA1,ALPK2
TCGA-B0-5094	TTN,VHL,COL24A1,PBRM1,UBR4,SYNE2,KDM5C,USH2A,DST,VPS13B,RALGAPA1,PKHD1L1
TCGA-B8-5549	VHL,ANK3,ARID1A,ZFHX4,MACF1,USP34,SACS
TCGA-CJ-5684	VWF,DNAH2,SETD2,PBRM1,PCDH15,THSD7B,MYCBP2
TCGA-CJ-4644	MTOR,VHL,TTN,PBRM1,SYNE2,PRUNE2,ADGRV1,MUC16,FCGBP
TCGA-CW-5590	FN1,TTN,PBRM1,SETD2,DNAH3,DST,ZNF800,HIVEP1,SRRM2,MUC16,FCGBP
TCGA-BP-4801	ATM,BRCA2,TTN,PBRM1,DST
TCGA-B4-5844	MTOR,PBRM1,LRP2,DNAH9,AHNAK2,ATRX,HYDIN
