TF	Target
E2F6	RN7SL718P
HDAC1	SERP1
FOXA2	MUC20
BRD2	ALG11
E2F6	MIR320A
TBP	PDIK1L
CBX8	VPREB3
MAZ	ABLIM3
FOXP1	PCDH12
GATA2	EEF1A1
YY1	AHDC1
ZNF384	GOT2P3
EBF1	PSME4
ELK3	SBNO2
KAT5	PDP2
MECOM	BCL9L
CTBP2	HNRNPF
ZNF384	SNORA51
EZH2	SCAP
GABPA	ZNF862
E2F1	C19orf67
RBBP5	P4HA2
KDM5B	TFAP4
RELA	MIR23A
NFIC	DEPTOR
ETS1	LARS2
BRD2	PMM1
EGR1	MIR6890
CBX3	TAF13
NFE2	ZC2HC1C
MAZ	SLC31A1
IRF1	LSM14B
ZBTB7B	C2CD3
BPTF	DLG1
POU2F1	JARID2-AS1
GATA1	PACSIN3
E2F6	TLX2
AR	ZBED3-AS1
E2F1	PNKP
JUNB	SLC29A1
ZNF263	POLD4
TFAP4	TBC1D31
FLI1	NGEF
CEBPB	PLSCR2
KDM5B	SGCA
EBF1	ETV7
AR	NECAB1
STAG1	RND2
CTCF	VPS37C
MYC	HLX
ESR1	SERPINF1
BRD2	RCE1
ELF1	LRRC25
CEBPB	FABP5P7
GRHL2	SUN5
TAF1	BOD1
ATF3	CEP57L1P1
ZC3H8	MADD
MED12	CTNS
FOXA1	PPP5C
MYOD1	HNRNPH1P1
WDR5	DTX4
KLF9	SAMD10
BRD2	PHKB
KDM1A	C2CD2L
IRF1	DIS3
HDAC1	RNF139
HDAC2	TELO2
FOXA2	LRRC42
CLOCK	SLTM
TBP	VEGFB
TBP	SCD
MXI1	CORO7-PAM16
HDAC2	EZH1
FOXP2	HPCAL1
E2F7	HS6ST1
TFAP2A	KRT16
ATF5	DNTTIP1
ZBTB6	THTPA
NKX2-2	RC3H2
HDAC1	MAP3K7
GATA1	CTC-338M12.4
GABPA	STXBP3
BRD4	RPL21P126
HNF4A	PSMF1
CDK9	RPL23P2
BRD2	SLC35F6
NR2F2	HNRNPA1P53
NFIC	SCARNA4
CEBPA	MTUS1
BHLHE40	WASHC2A
KDM4A	SOWAHB
ICE2	PRELID2
EGR2	GARRE1
HNF4G	TMEM184A
BCL3	TOB1-AS1
STAG1	COPZ1
LMNB1	RBM22P12
PHF8	ATRIP
SMC3	RBBP5
LMNB1	TPM3
USF1	MIR4724
DDIT3	RARB-AS1
USF1	IBA57
POU2F2	LINC00881
EZH2	MYL12B
BRD4	RFWD3
POU2F1	SNORD80
TP63	SFN
FLI1	RPS20P33
TBP	ACRBP
HNF4A	NDUFC2-KCTD14
GRHL2	RNU6-1306P
MAZ	PSMG4
EGR1	MELTF-AS1
TAF1	FGD6
ETS1	PHACTR1
MYB	MIR4779
TCF12	TNFSF12-TNFSF13
SAP30	CERS1
RUNX1T1	CYLD
ETS1	LINC00689
SMC1A	RRN3
CBFB	HAUS2
ATF5	VWA7
ATF7	MIR378A
MAML3	TBX21
YY1	ZNF436-AS1
ZBTB7A	JAGN1
TFAP2A	SKA2
KDM4C	PPP1R37
DUX4	ZSCAN16
GABPA	MEFV
BRD4	TBC1D10A
CBX8	TGFBR3L
USF2	EBNA1BP2
BRD2	MRPL12
HCFC1	LZTR1
BCOR	UNKL
PPARG	EML3
FOXP1	ARRDC2
EP300	MAX
NR2F2	NEAT1
ERG	DDAH2
SAP30	COL11A2
CEBPD	VAMP1
HDAC2	CAPRIN1
BHLHE40	SCARNA17
RUNX1T1	YIF1A
ESR1	TOP3A
TCF12	ISCU
CDK9	BTRC
RARA	RPLP0
CEBPB	USB1
TFDP1	ZFYVE27
IRF1	C8orf44
ZNF76	EIF2B5
RNF2	HIRIP3
NOTCH1	NUCB1
BRD2	TUBD1
EZH1	DTX3L
MYC	MIR6821
CBX8	SERPINE1
MAZ	DUOX1
KLF5	LINC00880
NFAT5	LAMTOR5-AS1
ELF1	TNKS1BP1
KLF9	BID
CREB1	TMX3
CEBPA	HSPE1
RUNX2	FOSL2
RAD21	MIR4736
POU2F1	ARHGAP9
FOXA2	RNU6-112P
NOTCH1	HNRNPCP4
CEBPB	UBXN10
BRD4	PSAT1
FOXA1	ADAMTSL4
PHF8	DLEU1
HDAC2	BRIX1
E2F6	DTL
RUNX1T1	BBS2
WDR5	RN7SL619P
E2F7	UCKL1
SPI1	SYTL2
GRHL3	PTPRE
ETS1	GRB7
FOXA1	ATG12P2
HNF1A	CMSS1
MAPK12	NOS2
SMC3	BRD2
CBX8	DLGAP4-AS1
FOXA1	FAM81A
MYC	PSMC3
KLF5	TRIM65
RNF2	RN7SL104P
KLF5	MPV17
ZNF384	SCARNA17
ZBTB7B	ARL2BP
JUN	NAA60
FOXA1	HEATR5B
HOXA1	HEXB
E2F1	CDK10
SMARCC1	FOCAD
FOXM1	MIR27A
BRD4	RNU6-1113P
HDAC2	USP47
HDAC1	TRBV12-5
THAP1	TMEM120B
RREB1	DNAJC22
GATA1	POU5F1
ASCL1	MTSS1
FOXA2	TAF3
MYC	CA14
TAF3	PPP1R27
MAZ	KNOP1
TCF3	RNU6-938P
BCL6	RASSF3
NR2F2	MIR7975
AR	UACA
KDM4C	BCAS4
ATF4	CCND2
PBX1	PHYHD1
MYC	LAIR2
SRF	MED4-AS1
ETS1	RRN3
TCF3	MGC16275
HDAC2	SYTL1
SPI1	HSD17B3
FOXP1	CALR
EBF1	FAM193A
FOXA1	RPL12
CREBBP	SLC35G6
SUMO2	AKTIP
MED12	LRIG2
LMO2	ARRB1
KLF4	RINL
FOXP1	RNU4ATAC11P
ATF4	SLC8A3
ETS2	CCDC157
E2F6	LINGO4
E2F6	SMCO1
ELF1	PKIG
CEBPA	AMH
HDAC1	WDR24
FLI1	MEIS1-AS2
EBF1	RNA5SP382
ERG	DUSP12
BCOR	GALNT18
BRD3	TSNARE1
BATF	AKT1S1
FOXA1	URI1
ETV1	PRDX2
FLI1	STX3
KLF5	RINT1
PBX3	MRPL44
MED12	LRRC49
E2F1	ADHFE1
GABPA	SNX33
E2F7	COPS8
TFAP2A	CYSTM1
JUND	ZNF830
ERG	HNRNPAB
BACH2	LAMC2
TBP	KRTAP17-1
FOXP1	CCDC103
BRD4	TUBA1B
IRF1	BAZ1B
PBX1	GGNBP1
KLF4	XYLT2
MYOD1	WDFY4
FOXM1	MT-TH
CTCF	CRYBG1
E2F7	DSE
GRHL2	ZNF710
ZEB1	UBE2D4
SUMO2/SUMO3	PTK2B
KDM4C	RNU4-27P
BCOR	RNU5F-1
RUNX1T1	RNA5SP132
MAZ	EXO1
IRF4	GLS
CTCF	CDC7
CEBPB	APOBEC3B-AS1
CDK9	AGRP
KLF5	ITGB1
BHLHE40	SUPT4H1
NR2F2	BOK
RUNX1T1	VAC14-AS1
MYB	OPN3
SPI1	SMG5
NOTCH1	DDR1
ARNT	TPGS1
TCF21	CUL4A
ASCL1	PDE1A
TAF1	LGALS2
STAT5A	BPIFB4
CEBPD	FCF1P7
NR2F2	RXRB
NOTCH1	NCK1
NFKB2	SOX9-AS1
LMNB1	STK11
KDM4A	VAV2
CREBBP	UTP18
FOXP1	PKN1
E2F6	SCCPDH
GATA1	ATP5MC3
BCL11A	CFLAR-AS1
BRD4	CBX7
RUNX1T1	SPATA20
GATA2	MOGAT2
KLF9	MIR1538
FLI1	ZNF226
GRHL2	IGF2BP2
DDX5	RN7SL338P
KLF5	NRARP
HDAC1	SLC20A1
ETS1	AACS
SMARCA4	ARMC9
CHD1	RAB1B
MYCN	ID2
FLI1	SSR4P1
KLF9	TPPP2
TFAP2A	CHST14
FOXP1	GCC2
TFAP4	PLA2G4C
NFYB	E2F4
LMO2	RNU7-181P
E2F6	SNX9
ZNF263	WASF2
SRF	ITPK1
KLF1	VPS33A
SMC3	THUMPD3
GATA1	MYCL
SMC3	MIR3619
TFAP2C	MIR4738
BACH2	RNA5SP104
TFAP2C	BLVRA
NFE2	LINC00881
BACH2	ACTB
CREB1	RNF207
CREBBP	MIR139
MYOD1	STRN4
JUND	METTL15
MAX	SP7
CBX8	BCAN
E2F3	SH2D3A
DDX5	SCARF2
ZNF263	HECW2
MYH11	KCNJ14
LMNB1	RNASEK
CDK9	ATRNL1
ASCL2	FAM89B
BCOR	TRAPPC6A
CDK9	MTMR4
BCL11A	MMACHC
ZEB1	PIP5K1C
ASCL1	SYNGR2
BCOR	HES2
MAX	ADAT1
CDK9	CNIH1
ZNF263	ANKRD44-IT1
PAX5	SPATA20
EZH2	MYCN
NKX2-5	LYL1
NR2F2	CCDC148
CREBBP	CCDC186
EZH1	MIS18BP1
GABPA	FGFBP3
MYOD1	SFXN3
CBX8	BACH1
CREBBP	FANCC
DDIT3	SSR4
LMNB1	CRKL
ATF6	LINC02332
TCF3	MIR6165
NFE2L1	HOMER3-AS1
ETS1	HMGB1P10
POU2F2	RN7SL505P
ERG	MBD2
CTCF	CDKN2C
BRD4	ZNF333
FOXA2	MITF
FOXP1	RAB11FIP2
BRD4	PM20D2
ERG	PSMB4
KLF4	CDK9
BRD4	WDR41
CDK9	ANKMY1
FOXA1	SCAF11
BRCA1	TBK1
IRF1	CETN3
DUX4	HMOX2
ATF3	MYADM
TAF3	CUEDC2
MAZ	MIR1229
PAX5	SZRD1
ETV1	ATG101
E2F3	ELP5
STAG1	RPS15AP16
JUNB	KRT8P28
SMARCA4	IGSF9
KLF9	NCAN
LMNB1	ERICH5
HDAC1	FGF17
E2F1	RPL22L1
CUX1	SLC25A28
SUMO2	SLC35C1
ELF1	MIR4730
PBX1	IPO13
FOXA1	GAPDHS
ERG	UAP1
RELA	CTDSPL2
FOXP2	TMEM204
POLR2A	STK40
PHF8	IRF2BP2
MYC	CFAP68
IRF1	CD46
KLF4	MEOX1
KLF1	ARRB2
EBF1	TMEM43
CBX3	MIR6752
CREB1	GUSB
BRD2	CARHSP1
FOXA1	RN7SL811P
FOXA1	ASRGL1
FOXA1	ZP1
SMARCA4	RELA
FOSL1	CHN2
LMNB1	ASB16
SPI1	C22orf23
SAP30	SNORD46
KDM5B	HMGN1P38
HOXA9	PAQR9-AS1
STAT1	LXN
PBX1	GNPTAB
ETS1	RNU6-520P
GATA1	SSBP2
SP4	PLEKHB1
RUNX3	USP11
FLI1	ARF1
HDAC2	SNAP29
ATF1	RPL31
PAX5	RPS6KB1
NOTCH1	RNU6-1091P
JUN	PTOV1
HOXC6	EML2
MAX	MRC2
ELK3	RASSF4
HNF4A	SNORA48
GABPA	ZBTB5
FLI1	HMGB3P5
POU2F1	TMCO1
FOXA1	STARD7
CEBPB	RPS15AP38
SMARCA4	PRM2
GATA3	PPP1R14B-AS1
E2F3	IDH3G
MXI1::CLEC5A	CENPE
TP63	MIR3189
AHR	ENC1
ETS1	KITLG
ERG	PARP6
USF1	GASAL1
SMC1A	C2orf15
MAX	MIR6817
ZBTB7A	ID2-AS1
LMNB1	RPS3AP2
EBF1	LINC01093
AR	CRY2
ELF1	HNRNPA3P2
CDK9	ULBP1
PBX3	BCDIN3D
MAZ	PVRIG2P
ERG	RFXANK
MYB	ZNF623
CBX8	ALKBH2
MAZ	PHLDA2
BCOR	ST6GALNAC4
NFIC	SUDS3
ZBTB7A	TAS1R1
TCF3	TCAP
GATA4	CEP164
EP300	SUMF1
NANOG	C6orf120
AHR	CTC1
FOXA1	LINC00589
NOTCH1	ANXA4
TCF3	CCDC50
CHD1	TNS1
FOXA2	TMEM53
SIN3A	ZNF503-AS1
ATF3	PDZD2
SPI1	DLG5
NANOG	FOXN3
BRD2	UNC45B
HINFP	MGRN1
GLI2	ZNF335
EP300	FCRLB
HCFC1	CASQ1
CREBBP	KLF15
EP300	ZNF587
E2F1	MIR3618
TBP	RN7SL708P
EP300	ESRP2
CEBPA	GLT1D1
ERG	MAT2A
POLR2A	LOXL1
PBX1	TMEM72
MAX	FAM151B
STAG1	CIPC
NR2F2	STRADA
MYB	LOXL1-AS1
NFATC1	MAPK6
AHR	LMAN1L
MZF1	SLC6A13
KLF1	PRTFDC1
ATF5	KATNIP
ARID3A	RNU6-7
PAX2	MIR3658
GATA1	PARP2
NRF1	NELFCD
BCOR	FGR
POU2F1	PIPOX
RNF2	POLR3K
KDM5B	LOXL1-AS1
RNF2	CBFA2T2
EP300	MIR6882
ESR1	FNBP4
IRF1	PPP1R15A
RNF2	CEP85
E2F1	BEST4
ETS1	HSPA8P14
E2F6	RPS25
SFMBT1	SCAI
KAT5	KAT7
GABPA	FOXA3
LYL1	CDKN2AIP
ARNT	CA10
FOS	RNU6-1157P
GTF2I	IMMP1LP3
LMNB1	DEPDC5
HDAC2	JAK1
USF1	SPOCD1
JUN	PGAM1P11
ETS1	SEZ6
NFIC	MPZL1
CREBBP	ABHD8
KLF4	ACSS2
BCOR	XBP1
TCF21	GAA
FLI1	TRPS1
KLF4	TEX264
STAT5B	TAX1BP3
STAT5A	PLEKHA4
JUN	NARF
KDM5B	WDR64
MYB	TIGD5
SPI1	SLC16A12-AS1
XBP1	ANAPC2
SMC1A	GSTP1
PBX3	NAMPT
BHLHE40	NOTCH3
ETS1	TMEM18
EGR1	PRSS27
SMARCC1	PRR3
EGR1	PPCS
CREBBP	MTAP
JUN	YWHAQP5
TFAP2C	RNU4-83P
CREBBP	GNA13
EP300	NR1D1
ERG	MIRLET7F1
BRD4	FOXJ3
KLF9	ZNF706
GATA1	MAP1S
GATA3	HPD
ELF1	MIR3180-5
RBPJ	RNF4
NRIP1	MIR3132
CBX3	CSRNP1
MAZ	SCAND2P
TCF3	RPL13P6
NFKB1	CXCR2
SMC3	RHBDD1
FLI1	UBE2G2
ATF3	RAB11B
POLR2A	RSPH9
HDAC1	TMEM126B
EHF	SH2D3A
ASCL1	RPS21
NR2F2	FABP5P7
GTF2B	SERP1
CREB1	CCDC157
EP300	SEMA3A
ZNF92	CCDC97
TFAP2A	SAP30L-AS1
RBPJ	TSR3
KLF9	DLG2
MAZ	ZSCAN12
ETS1	MIR17HG
ETS1	CMC2
BRD4	ELAVL3
ASCL1	DIS3L2
BHLHE40	FAM83A
USF2	RNU6-558P
BRD4	PSMB4
CEBPB	TRBV12-4
CDK8	CHMP6
CTBP2	CCDC88B
TAF1	WIPF2
TBP	DMGDH
ARID3A	FALEC
CEBPA	ALOXE3
USF2	NACC2
SP1	ICA1
MAZ	GDPD3
GATA1	USB1
RFX5	ANAPC15
LMNB1	ARTN
ZNF384	PDCL3
FOXA2	NEK11
RUNX1T1	RNF216
FOXA2	ZBTB25
ETS1	MOCS1
EGR1	SCARNA21
LMNB1	AK1
BHLHE40	SNRPD3
GLIS1	THAP2
ZNF263	LINC00315
MED12	COMT
BCL11A	EIF4E
RAD21	SMIM12
STAT5A	MTCL3
TCF3	ERH
RNF2	DAB2IP
POU2F1	CSRP3
SPI1	CRY1
NOTCH1	GPCPD1
EP300	FXR1
SMC3	SLC35C2
ESR2	TMEM97P1
PHF8	MIR7109
NFE2	MUTYH
SPI1	IL2RG
FOS	DMWD
JUNB	PRAF2
ASCL1	PLCH1
ZNF263	GCHFR
AHR	ATP9A
NFIL3	R3HDM2
EP300	HMGB3P27
MYH11	MARK2P8
USF1	UNC13A
CEBPA	SNAI3
STAG1	CUL9
POU2F1	ATP8B3
HOXA6	SFN
ETV1	ZNF787
GATA4	TRIM63
PBX3	PDZD8
IRF1	HLA-U
CREB1	PTPN11
NR2F2	DOK7
E2F2	S100A6
CEBPB	TMEM218
ATF3	RGS1
ARNT	MPV17L2
GTF3C2	ZNF627
RNF2	VPS52
CEBPB	GEMIN5
MAZ	PEX16
TERF1	ZMYND10
SRF	CCL27
HINFP	CATSPERD
EP300	CHCHD2
FOXA1	ASIC3
FOS	AKAP5
TAF3	MZF1
FOXP1	COASY
STAT1	RGS3
CHD1	OSMR
MTA3	TLR1
TFAP2C	MIR658
FOXA2	KCNN1
CBFB	AKAP12
OTX2	DNAI1
SMC3	ANKRD53
ESR1	MEGF8
MYB	SMG1
CREB1	PLEKHH3
BHLHE40	LY6G5C
MYH11	TTC38
SP1	FBN3
BCL3	FAM174B
RBBP5	ID1
LMNB1	PP2D1
KDM4C	KDM6B
FOXD1	LINC-ROR
ZBTB7A	RNF43
RBBP5	FGFR3
GATA3	LINC01237
SUMO2	RNU6-1113P
MAX	PFAS
HDAC2	FRK
CBFB	ISG15
GMEB2	SERINC3
KLF1	GMEB1
WDR5	SNORA18
NR2F2	TNFSF9
STAG1	RAD51L3-RFFL
CBX8	BRSK1
KLF5	ATP6V0E2-AS1
ZNF83	STARD4
TP53	CARM1
ETS2	G3BP1
PAX5	ZNF500
HIF1A	LIMD1
ETS1	CCDC9
FOXQ1	TWIST1
E2F5	CRELD2
FLI1	DGUOK-AS1
BCL3	WDR24
RUNX3	ABHD12
NKX2-1	C2CD3
FOXP1	PLEKHH2
ARID3A	FOXK1
VEZF1	KLF16
RBBP5	CDK2AP2
E2F1	MIR4516
NFIC	ACAP2-IT1
MAZ	PRCD
PBX3	DIP2A-IT1
NFIC	CDC123
CTCF	FBXW9
KLF9	ZBED4
KLF1	LINC01465
ZNF384	PCSK1N
NFKB2	TNK2-AS1
ESR1	PTP4A1
BHLHE40	CDK2AP2
ZBTB7A	MIR6768
KDM4C	RNU6-781P
EHMT2	APTX
JUN	TMEM120B
SMC3	SYP-AS1
POLR2A	RNU6-178P
CREBBP	MAP3K2
SUMO2	TRIM8
ATF3	SNORA5A
TCF3	ARFGEF2
BRD2	NR1H2
FOXA2	TRAM2-AS1
AHR	KLF1
EGR3	MIR92A1
CLOCK	AZIN1
TFAP4	BRICD5
LMNB1	CLIC3
FLI1	MAZ
PPARG::RXRA	BCCIP
MAZ	ORMDL3
DDX5	NLGN3
ATF7	TEDC2-AS1
ZBTB7B	TRDMT1
KLF4	EIF3L
BRD2	RPL7AP65
HDAC1	TGFBR1
FOSL1	ANGPTL4
DDX5	CTNNBIP1
MYC	DVL2
CBX8	DNAJB11
BRD2	SCRN2
GABPA	RAB33B
SPI1	SNORD64
E2F6	RPL36AL
MYC	CPLX2
RUNX1T1	TNRC6C
YY1	IQSEC1
ETS1	SVIP
ZNF263	RNU7-27P
ZBTB7B	PGPEP1
FLI1	TFF1
E2F1	SMTNL2
TFAP2C	DDRGK1
SP1	MIR3181
STAG1	CDK11B
CTCF	SNORD115-7
CTCF	PPIP5K1P1-CATSPER2
EBF1	RBP7
SPI1	RPLP1P13
PBX1	RNASEH2A
HNF1A	GPR84-AS1
SIN3A	RSRP1
TCF21	RAP1GAP2
LMNB1	SNHG3
RXRG	POR
CTCF	THG1L
ATF2	CDC25C
ATF1	DDX5
SMARCA4	AGPAT2
KDM5B	NANOS3
JUN	CMC4
BRD2	MRPL27
CBX8	RPL9P25
SRF	SKP1P1
MEIS1	PMEL
IRF2	EPSTI1
ERG	MEIS1
LYL1	GOT2
NFE2	C19orf25
BHLHE40	PTK7
ASCL1	RBAKDN
RFX2	CCDC87
JUN	BBC3
ATF1	YPEL4
ZNF384	SSBP4
GABPA	BCL2L11
ZBTB7A	RN7SL165P
ZBTB7A	MIR7111
POU3F1	H2BP2
NFYA	AQP7
LMNB1	RN7SL182P
KLF5	MDC1
FOXP1	CEP55
NFYA	YPEL3-DT
EP300	BAMBI
IRF1	GTF3C3
UBTF	NUP62
LMNB1	SLC23A1
CREB1	ANKRD36C
MXI1::CLEC5A	SNORD110
EBF1	RSRP1
FOS	ZNF668
HEY1	HIBADH
BCOR	BATF
BARX2	GRN
JUND	RNA5SP447
MAZ	STK24-AS1
FOXA1	HORMAD1
ASCL2	TBC1D14
EP300	TMEM167A
KLF9	KY
ZNF263	SYT12
SP1	RAB2B
ETS1	HINT1
USF2	GSK3A
EGR2	MPP2
TOPORS	MIR6797
ARNT	FBXL19-AS1
RNF2	GALR2
NRIP1	MYSM1
RUNX1T1	ZNF318
GATA3	MIR556
TCF12	LINC01503
NR2F2	CCL19
POU3F2	MACROH2A2
POLR2A	STK4
TAF1	S100A11
MAX	TOMM40
REPIN1	MIR4489
NKX2-1	RPL21P28
MAZ	TRIM66
POLR2A	FBXL19
E2F5	STX5
FLI1	RNU6-993P
MAZ	MYO5A
SP1	DYNC1I1
FOXP1	CEBPG
E2F6	EMC9
RFX5	CUL9
CREB1	TMA7
MEIS1	ARHGAP25
SPI1	PRSS57
CTCFL	ZCWPW1
EZH1	STIM2
TCF3	STK19
GTF3C2	MIR6757
TFAP2A	KISS1
PBX3	SPON2
HLF	FGL1
MYOD1	PIGP
BCOR	FAM47E
BRD4	EPG5
RBBP5	RNU6-950P
SMC1A	RN7SL692P
HDAC2	FLT1
KLF4	ARL6IP6
TBL1X	CPT2
CBX8	EPS8
NFIC	ANTXR2
FOXF2	HAND1
KLF12	THBD
STAG1	SMG1P3
VEZF1	SERTAD1
MEF2A	HOXA-AS3
SMC3	RN7SL472P
NCOR2	TMED10
GABPA	FGFRL1
CEBPA	RNU6-626P
SOX9	ZNF646
NOTCH1	LY6G5B
SMC1A	HLCS
JUNB	EIF3J
TCF12	ACVR1B
MYOD1	KIFC1
ZBTB7A	STAT5A
NR2F2	HMGN1
KLF12	BTBD19
FOXA2	TRAPPC12-AS1
BRD2	TMEM169
CDK8	ZBTB20
GABPA	MIR4725
ETS1	CCDC14
ETS1	PSRC1
ELK3	DNLZ
SP1	TGFBI
TBX21	NFE2L2
EP300	MIR3654
SPI1	MAP3K8
FOSL2	SNORA40
GTF2B	LARP1
FOXA2	RPL36AP45
BRD4	ESPNL
GABPA	GYG1
TFAP2C	PDHX
POU3F2	MIR19B2
RBBP5	KNSTRN
MYC	RN7SL836P
ERG	PRPF31
YY1	MYL12B
KLF1	PLEC
BRD3	TXNDC15
E2F4	N4BP2L1
E2F1	IMMP2L
PGR	IFT46
FOXP1	GPNMB
PAX5	EPS8L2
SP1	IRS1
FOXP1	SEC22C
ERG	BNIP3
WDR5	RYR1
ZBTB10	MIIP
TFAP4	SEMA4B
IRF1	NLRC5
LHX2	PDSS1P2
LMNB1	WDR12
FOXP1	THADA
TFAP2A	NQO2
STAG1	WBP11
BRD2	EHMT1
FOXA1	RAD51AP1
CTCF	CDK18
SUMO2	FNDC3A
CBFB	PIM1
HDAC2	TTC9B
PHF8	APOA2
KLF5	RPL17
POU2F1	ABHD13
TCF3	RNU7-45P
CBX8	SUZ12P1
BRD4	PTBP2
CREB1	DAND5
NFIC	METRN
MECOM	NPW
EWSR1	PCED1A
ETS1	TBKBP1
ZNF263	NSL1
ZNF263	BRSK2
TCF7L2	SP7
STAT5A	ADGRB3
REPIN1	IRF6
FOXA1	DLL4
KLF5	JDP2
FOXP1	VDAC2
EGR2	LINC01512
CDK9	GGT6
BRD4	ZBTB5
ARID3A	MSTO2P
FLI1	GJC1
EP300	MED28P1
KLF4	HIPK4
CBFB	DENND1C
CDK9	WRN
ZNF263	CHMP4BP1
TCF21	GPR150
CREB1	ZNF627
ESR1	BAMBI
GTF2I	TP53BP2
E2F2	CBX6
BRD4	SNORD14E
ESR1	GID8
GATA1	ATG9B
JUNB	CEP70
DUX4	NDE1
CDK8	MAP3K6
BCL3	KATNB1
USF1	SLC25A25-AS1
GABPA	MBP
FOXG1	GPRC5A
ARNT	AEN
MYOD1	MIR4668
GTF3C2	USP33
ELK3	GLIS2
E2F6	DPP7
CDK9	OSGEPL1
GABPA	CMPK1
E2F1	TAF12
ATF3	LIPH
FOXA1	TUBG2
ARID3A	PTK6
CEBPB	MIR8058
POU2F2	RNF144A
ZEB1	SYNGR3
ERG	KCNH4
HCFC1	ZNF814
HDAC2	DEF8
EHF	RACGAP1
EHF	FNTA
EGLN2	ZNF775
EBF1	GORASP2
BRD4	ING2
BRD4	DGKD
GABPA	TRBV8-2
SMARCA4	CHIC2
ARID3A	DHX58
NR2F2	P2RX6P
RUNX3	MORF4L1
CEBPA	RN7SL236P
ERG	ADNP2
FOXA1	CMYA5
TFAP2A	PMS1
NOTCH1	MTPAP
BRCA1	NKIRAS1
TCF3	MAP3K1
NR2F2	GINS1
CTCF	RNA5SP443
TAF1	MIR4443
CDK9	KANSL1
TBL1X	MIR4517
E2F4	CUTC
SIX5	MIR4530
HDAC1	MIR378F
FOXA2	DEXI
MEIS1	NOS1AP
HDAC2	OAZ3
E2F6	CAMK1
EP300	KLHL17
TFAP2C	CCDC184
NR2F2	KCNC4
LMNB1	PRR12
NOTCH1	MORF4L1
ZBTB7A	CCNL1
CTCF	ZBTB42
IRF4	DIAPH1
CTCF	RNU4-81P
KMT2B	MIR5008
KLF5	SAE1
NFYB	NCEH1
STAT1	RNY1
SRF	AGAP2
PAX5	NYAP1
NRIP1	TMTC2
MAX	FAM83F
LMNB1	ZNF577
GTF3C2	RHOF
BRD4	RAB21
MITF	TOM1L2
TP63	TOMM20L
SPI1	FGD1
CEBPA	ANKRD42
HDAC1	RPL13A
ATF3	COLGALT1
ASCL1	PITPNM1
USF2	GANAB
KLF5	APOE
RNF2	MAP3K3
MED12	CEACAM16
KDM5B	SOBP
TCF12	ZMYND10
ETS1	PRR5
ATF2	ITGAE
GATA1	SRPK3
SAP30	POU3F1
MYH11	SERPINE2
ERG	STEAP1
GABPA	ERF
SMC3	RUFY4
DDX5	TNS3
PGR	APRT
SAP30	ACOT7
PRDM1	HDAC4
ELF1	CAMK1
IRF1	BCL2L1
EP300	ANLN
RNF2	PTK7
MYH11	IL6ST
FLI1	SAT1
RUNX1	FMNL3
CREB1	RPS16P5
NFATC2	IFNB1
KAT5	SNORA14B
KLF1	CHCHD5
TFAP2C	DTX3
KLF4	DUOX1
FOXA1	SAP25
KLF5	MAP3K10
EGR1	LGALS1
TCF3	SNAI3-AS1
SRF	DSN1
FOXA2	MLX
FOSL1	GAS6-AS1
ARNT	MIR22HG
SPI1	ZZEF1
NFIC	LIMK1
FOXA1	B2M
POLR2A	RAVER1
KAT5	SLC35B2
MED12	ITPK1-AS1
E2F6	ANO1
RELA	ACTA2
ATF3	DNM1L
PHF8	UAP1
PAX5	AP4B1-AS1
KLF4	ZC3H10
MAX	COX6CP7
NKX2-1	MCL1
PBX3	PTCH1
CBX3	C6orf120
BRD4	COPS8
TBP	FALEC
NFYA	HMGB2P1
MAZ	RNVU1-14
MAX	PROSER1
CREB5	MX1
BCOR	MORF4L1
TFAP2C	RNU6-993P
RXRA	DPY19L1
E2F1	DEAF1
KLF12	JPH3
SMC1A	CCDC69
AHR	RPL21P7
MAFK	UNKL
PPARG	SHANK2
ATF3	SGSM2
LYL1	SULT2B1
CREBBP	LMBR1
ATF1	POLR3D
RAD21	USP30-AS1
POU2F1	RNU5E-4P
ETS2	BSCL2
KLF5	XKRX
TCF21	AMPD3
SP1	EPHA2
CBFB	HBZ
MEF2A	NAV2
RAD21	ZNF775
RELA	NCF2
SOX9	SPAG9
RARA	NCOA2
NRIP1	MRPL33
MYBL2	BRMS1L
HDAC1	FAM174A
FOXP1	RPL12P15
ATF3	TAF7
MAX	LINC00028
NFIC	GNAI2
USF1	SLC38A2
CBX3	CTNND1
POU2F1	MIR4666A
ZNF384	EHBP1L1
E2F1	TCHP
STAG1	CAND2
POLR2A	POU2F1
EP300	RPS7P3
BCL3	TMEM229B
CBX8	PHTF1
PGR	C2CD2L
EBF1	LINC00996
FOSL1	TNK2
TFAP2A	ACBD5
SP1	SLC5A3
NFIC	TOP3B
HSF2	MIR7845
CEBPB	MRPL36
NRF1	TMEM187
SIX5	RAB40C
NIPBL	SMIM6
NANOG	BAD
HDAC2	RPS15A
FOXA1	RNU6-2
ATF2	ARMCX1
ETS1	NKG7
CDK7	RPP40
CREB1	CNNM2
RCOR1	SLC2A1
ERG	HDAC11
SRF	UGT1A7
MAZ	ZFPM2
FOXA2	PIM2
SREBF1	SLC36A1
KLF9	CREB3
CEBPB	TSPAN5-DT
XBP1	MIR4666A
USF1	BMI1
LMNB1	MED18
CTCF	KMT2E-AS1
RAD21	ELOF1
CTCF	DNM1
MXI1	APOA1
